"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","4,576,694","100"
"2","www.google.com","12,254,848","100"
"3","youtube.com","17,957,828","100"
"4","www.blogger.com","25,503,545","99"
"5","support.google.com","4,656,521","99"
"6","play.google.com","2,388,247","99"
"7","microsoft.com","4,617,896","99"
"8","cloudflare.com","5,238,937","99"
"9","docs.google.com","2,280,731","98"
"10","youtu.be","3,909,964","98"
"11","wordpress.org","10,036,902","98"
"12","en.wikipedia.org","5,458,085","98"
"13","linkedin.com","9,024,480","98"
"14","maps.google.com","4,384,574","98"
"15","adobe.com","2,834,708","98"
"16","googleusercontent.com","2,165,173","97"
"17","drive.google.com","1,801,110","97"
"18","sites.google.com","1,711,525","97"
"19","mozilla.org","1,941,615","97"
"20","accounts.google.com","2,532,845","97"
"21","plus.google.com","11,770,996","97"
"22","vimeo.com","3,100,426","97"
"23","europa.eu","1,679,724","97"
"24","cnn.com","1,221,553","96"
"25","bp.blogspot.com","16,037,571","96"
"26","vk.com","1,600,835","96"
"27","uol.com.br","562,335","96"
"28","line.me","619,398","96"
"29","medium.com","1,140,116","96"
"30","github.com","2,030,585","96"
"31","istockphoto.com","3,109,825","96"
"32","amazon.com","4,014,632","96"
"33","bbc.co.uk","1,412,575","96"
"34","es.wikipedia.org","776,902","96"
"35","live.com","734,779","95"
"36","feedburner.com","1,703,284","95"
"37","google.es","413,014","95"
"38","draft.blogger.com","9,797,254","95"
"39","google.de","1,080,858","95"
"40","bbc.com","668,646","95"
"41","washingtonpost.com","870,210","95"
"42","dailymotion.com","1,064,642","95"
"43","whatsapp.com","1,916,671","95"
"44","nih.gov","1,054,950","95"
"45","dropbox.com","933,016","95"
"46","google.fr","379,935","95"
"47","news.google.com","689,941","95"
"48","google.co.jp","626,571","95"
"49","slideshare.net","876,790","95"
"50","google.co.uk","538,017","95"
"51","globo.com","382,198","95"
"52","theguardian.com","1,199,226","95"
"53","jimdofree.com","1,666,717","95"
"54","wikimedia.org","1,370,921","95"
"55","creativecommons.org","1,559,711","95"
"56","mail.google.com","438,909","95"
"57","mail.ru","475,278","95"
"58","w3.org","1,055,169","95"
"59","facebook.com","45,913,615","95"
"60","get.google.com","724,403","95"
"61","imdb.com","1,226,349","95"
"62","msn.com","985,120","95"
"63","gstatic.com","584,258","95"
"64","policies.google.com","1,127,787","95"
"65","developers.google.com","901,974","95"
"66","t.me","553,622","95"
"67","nytimes.com","1,685,782","95"
"68","google.com.br","262,445","95"
"69","hugedomains.com","4,973,605","95"
"70","forbes.com","1,147,434","95"
"71","paypal.com","904,802","95"
"72","www.yahoo.com","931,084","95"
"73","fr.wikipedia.org","537,454","95"
"74","who.int","2,059,753","95"
"75","pt.wikipedia.org","357,412","95"
"76","reuters.com","727,129","95"
"77","myspace.com","1,247,859","95"
"78","wired.com","534,011","94"
"79","booking.com","353,083","94"
"80","goo.gl","4,185,329","94"
"81","sedo.com","2,544,414","94"
"82","latimes.com","576,069","94"
"83","fb.com","360,544","94"
"84","de.wikipedia.org","590,179","94"
"85","steampowered.com","217,337","94"
"86","nasa.gov","549,539","94"
"87","www.gov.uk","486,852","94"
"88","bloomberg.com","680,911","94"
"89","ok.ru","329,908","94"
"90","aboutads.info","486,302","94"
"91","office.com","352,485","94"
"92","amazon.de","491,085","94"
"93","elpais.com","324,208","94"
"94","id.wikipedia.org","410,893","94"
"95","time.com","612,994","94"
"96","opera.com","751,986","94"
"97","ebay.com","868,584","94"
"98","photos.google.com","229,948","94"
"99","aliexpress.com","439,068","94"
"100","aol.com","656,004","94"
"101","cdc.gov","660,594","94"
"102","tinyurl.com","1,241,194","94"
"103","independent.co.uk","518,267","94"
"104","bit.ly","4,086,050","94"
"105","google.ru","173,103","94"
"106","foxnews.com","452,999","94"
"107","news.yahoo.com","584,222","94"
"108","change.org","402,376","94"
"109","telegraph.co.uk","771,582","94"
"110","pinterest.com","7,337,866","94"
"111","bing.com","894,894","94"
"112","amazon.co.uk","628,103","94"
"113","hatena.ne.jp","1,454,512","94"
"114","picasaweb.google.com","609,779","94"
"115","abcnews.go.com","472,273","94"
"116","myaccount.google.com","268,556","94"
"117","buydomains.com","1,133,055","94"
"118","www.wix.com","904,253","94"
"119","thesun.co.uk","254,523","94"
"120","networkadvertising.org","696,028","94"
"121","terra.com.br","185,979","94"
"122","it.wikipedia.org","282,769","94"
"123","wsj.com","800,404","94"
"124","businessinsider.com","577,041","94"
"125","tools.google.com","1,488,127","94"
"126","cpanel.net","1,324,363","94"
"127","mediafire.com","763,805","94"
"128","issuu.com","845,425","94"
"129","ig.com.br","131,601","94"
"130","translate.google.com","273,356","94"
"131","files.wordpress.com","1,987,791","94"
"132","wikia.com","457,843","94"
"133","archive.org","882,609","94"
"134","lefigaro.fr","187,517","94"
"135","twitter.com","48,551,652","94"
"136","un.org","423,254","94"
"137","themeforest.net","507,837","94"
"138","usatoday.com","637,385","94"
"139","scribd.com","651,508","94"
"140","webmd.com","549,901","94"
"141","rakuten.co.jp","584,881","94"
"142","huffingtonpost.com","872,887","94"
"143","youronlinechoices.com","509,120","94"
"144","search.google.com","1,032,835","94"
"145","cnet.com","547,237","94"
"146","cpanel.com","1,238,991","94"
"147","dan.com","1,611,504","94"
"148","ft.com","351,764","94"
"149","fandom.com","429,151","94"
"150","books.google.com","344,811","94"
"151","google.it","406,488","94"
"152","samsung.com","303,376","94"
"153","namecheap.com","934,334","94"
"154","dailymail.co.uk","776,339","94"
"155","amazon.co.jp","774,275","94"
"156","android.com","263,198","94"
"157","plesk.com","704,226","94"
"158","abril.com.br","224,420","94"
"159","marketingplatform.google.com","761,889","94"
"160","telegram.me","274,117","94"
"161","gravatar.com","1,726,255","94"
"162","harvard.edu","588,052","94"
"163","cbsnews.com","427,012","93"
"164","pl.wikipedia.org","128,450","93"
"165","shop-pro.jp","145,102","93"
"166","ign.com","231,930","93"
"167","abc.net.au","323,761","93"
"168","walmart.com","268,276","93"
"169","vox.com","378,838","93"
"170","detik.com","350,375","93"
"171","goo.ne.jp","296,895","93"
"172","google.ca","292,492","93"
"173","umich.edu","292,204","93"
"174","mirror.co.uk","257,035","93"
"175","ggpht.com","572,624","93"
"176","instagram.com","20,993,731","93"
"177","researchgate.net","322,828","93"
"178","hollywoodreporter.com","214,846","93"
"179","biglobe.ne.jp","223,093","93"
"180","trustpilot.com","329,053","93"
"181","over-blog-kiwi.com","178,684","93"
"182","yandex.ru","915,608","93"
"183","bandcamp.com","510,054","93"
"184","shutterstock.com","251,411","93"
"185","ox.ac.uk","219,589","93"
"186","mashable.com","344,232","93"
"187","enable-javascript.com","1,250,130","93"
"188","whitehouse.gov","314,376","93"
"189","privacyshield.gov","416,032","93"
"190","lemonde.fr","223,827","93"
"191","elmundo.es","191,675","93"
"192","abc.es","156,514","93"
"193","gmail.com","181,231","93"
"194","ytimg.com","251,778","93"
"195","forms.gle","353,670","93"
"196","finance.yahoo.com","370,956","93"
"197","blackberry.com","134,451","93"
"198","imageshack.us","781,484","93"
"199","akamaihd.net","412,128","93"
